Artist,Album
Sister Machine Gun,Addiction
Sister Machine Gun,The Torture Technique
Sister Machine Gun,Metropolis
Sister Psychic,Sister Psychic
Sister Psychic,"Surrender, you freak!"
Sister Red,Sister Red
Sister Seven,Wrestling Over Tiny Matters
Sister Soleil,Soularium
Sister Soleil,Solarium
Sister Soliel,<Torch>
Sister Soliel,Soularium 
Sister Sonny,Lovesongs
Sister Souljah,Final Solution: Slavery's Back in Effect
Sister Souljah,The Hate That Hate Produced
Sister Suvi,Sister Suvi
Sisters ,Ghost Fits
Sisters Grimm,Sisters by Birth Grimm by Grace of God 
Sisyphus Autopsy,The Unshoeing of the Ass
Situation Nowhere,One of the Loudest Tragedies Ever Heard...
Six Blocks From Detroit,Paully Moonbeam
Six By Seven,The Syndicate
Six By Seven,Six By Seven
Six By Seven,4
Six Days Slide,Lights
Six Feet Deep,The Road Less Traveled 
Six Feet Under,Alive and Dead
Six Feet Under,Graveyard Classics
Six FInger Satellite,Law of Ruins
Six Going On Seven,Self-Made Mess
Six going on Seven,Heartbreak's got backbeat
Six Sided Single,Six Sided Single Vol.1
Six Sided Single,Six Sided Single Vol.2
Six Sided Single,Vol. 1
Six Sided Single,Vol. 2
Six. By Seven,The Things We Make
Six. By Seven,The Way I Feel Today
Six. By Seven,The Closer You Get
Six. By Seven,Ten Places to Die/ England & A Broken Radio
Six. By Seven,The Things We Make
Sixer,Saving Grace
"Sixfifteens, The","Feature, Conference, Transfer"
Sixfinger,Songs For The Escape Artist
Sixfinger,Songs for the Escape Artist
Sixteen Deluxe,Emits Showers Of Sparks
"Sixth Chamber, A",Crippled Souls
Sizzla,Black History 
Ska,Island
Ska ,The Third Wave
Ska Island,Island
Ska Voo Vie and The Epitones,Ripe
skadanks,Give Thanks
Skamper,Thunderbeast
Skamper,Thunderbeast
Skandalous All Stars,Punk Steady
Skandalous All-Stars,Punk Steady
Skantic,Last Call
Skatalites,Skavoovee
"Skatalites, The",Ball of Fire
Skatenigs,Regret
Skatenigs,Regret
Skatenigs,What A Mangled Web We Leave
Skates,Lord of the Rinks
Skating Club,Skating Club
Skating Club,The Unfound Sound
Skavoovie & The Epitones,Ripe
Skeleton Key,Fantastic Spikes Through Balloon
Skeleton Key,Fantastic Spikes Through Balloon
"Skeletones, The",Dr. Bones
Skew Sisken,Skew Sisken
Ski Lodge,New Life
Skillet,Collide
Skin Chamber,Wound
Skindive,Skindive
Skindred,Babylon
SKINLAB,Disembody: The New Flesh
SKINLAB,Nerve Damage
Skinnerbox,"What You Can Do, What You Can't"
Skinny Puppy,Last Rights
Skinny Puppy,doomsday back + forth volume 5 live in dresden 
Skinny Puppy,the process
Skintrade,Skintrade
Skintrade,Skintrade
Skip James,Skip's Piana Blues
Skip The Gutter,Bliss
Skiploader,"Anxious, Restless"
Skiploader,"Anxious, Restless"
Skirt,Choking on Sugar
Skittish,Tragedy of the Commons
Skitzofreniks,Enter the Realm
"Skoidats, The",The Times
Skold,Neverland
Skold,Skold
Skrape,Waste
Skrape,Isolated
Skrape,Isolated
Skrape,Waste
Skrape,New Killer America
Skrape,Sunshine
Skrapp,Mettle
Skrapp,Mettle
Skräpp Mettle,Sensitive
Skrew,Dusted
Skunk Anansie,Milk Is My Sugar
Skunk Anansie,Stoosh
Skunk Anansie,Paranoid & Sunburnt
Skunk Anansie,Radio Album Sampler
Skunk Anansie,Charlie Big Potato
Skunk Anansie,Charlie Big Potato
Skunk Anaslie,Post Orgasmic Chill
Skunks,No Apologies
Skunkweed,Keep America Beautiful
Sky Blues,Extended Play
Sky Blues,Temptation & Persuasion
Sky Blues,Temptation & Persuasion
Sky Blues,Extended Play
Sky Cries Mary,This Timeless Turning
Sky Cries Mary,Exit at the Axis
Sky Cries Mary,Moonbathing on Sleeping Leaves
Sky Cries Mary,A Return to the Inner Experience
Skyblue72,Feel My Way Home
Skybox,Arco Iris
Skyfish,Skyfish 
Skylab,#1
Skyscraper ,Superstate
Skyscraper ,Never Again
Skyward,Skyward
Skywave,Echodrone
Slack ,Sorry to Drop This On You 
Slack Key Guitar,The Artistry of Sonny Lim
Slack Season,Post Party
"Slackers, The",better late than never.
"Slackers, The",Redlight
"Slackers, The",The Question
Slaid Cleaves,broke down
Slammin' Gladys,Slammin' Gladys
Slander,STRNG WTHR
"Slang, The",Night & Day
Slant 6 & The Jumpstarts,Slant 6 & The Jumpstarts (promo album)
Slant 6 & The Jumpstarts,Look Out Above
Slant 6 and the Jumpstarts,Look Out Below 
Slapback,Closin' In
Slapbak,Fast Food Funkateers
Slapshot,Old Tyme Hardcore
Slapshot,16 Valve Hate
Slash,Andres
Slater,Slater
"Slats, The",Boom Patrol
Slaughter,Revolution
Slaughter House,Face Reality
Slaughterhouse 5,Sometime So Close
Slaves,The Devil's Pleasures
Slayer,Undisputed Attitude
Slayer,Christ Illusion
Slayer ,God Hates Us All
Slayer Biohazard Machine Head,The Tour '95
Sleater-Kinney,Live in Paris
Sleater-Kinney,All Hands on the Bad One
Sleater-Kinney,The Woods
Sleater-Kinney,The Hot Rock
Sleater-Kinney,The Hot Rock
Sleater-Kinney,One Beat
Sleep of old dominion,Riot by Candlelight 
Sleep Station,Runaway Elba-1
Sleep Station,After The War
Sleeper ,The it Girl
Sleeper ,B - Sides
Sleeping at Last ,Ghosts
"Sleeping, The",Questions and Answers
Sleepsound,Leaves Change
"Sleepwalk, a Robot",Love in The Time of Global Warming
"Sleepy Jackson, The",Come To This
Sleepy's Theme,Still Smokin'
Sleepyhead ,The Brighter Shore
Sleey's Time featuring Kisha Jackson,Curse on You
Slept,Guy Trapped In A Situation
Slick Rick,Behind Bars
Slick Shoes,Far From Nowhere
Slick Shoes,Slick Shoes
Slide,Forgiving Buckner
Slide,whipdang!
"Slide Brothers, The",Robert Randolph Presents: The Slide Brothers
Slider Pines,Road Avenue Railroad
Slightly Psychadelic ,Mindless Pop
Slightly Stoopid,"Everyday Life, Everyday People"
Slightly Stoopid,Top of the World
Slightly Stoopid,Closer to the Sun
Slightly Stoopid,Everything You Need
slimpocket,slimpocket
Sling,Apology
Sling ,Sling
"Slip, The","Slip, The"
"Slip, The",Eisenhower
Slipknot ,9.0: Live [Sampler]
Slipknot ,Vol. 3: (The Subliminal Verses)
Slipknot ,10th Anniversary Edition Sampler
Slipknot ,All Hope is Gone
Slipstream,Be Groovy or Leave
Slipstream,Trabscendental 
"Slits, The",Trapped Animal
"Slits, The",revenge of the killer slits
Slium Village,Trinity
Sliver,Beneath the Waves
Sloan,Navy Blues
Sloan,One Chord to Another
Sloan,Underwhelmed
Sloan,Smeared
Sloan,Between The Bridges
Sloan,Take It In
Sloan ,A sides win
Sloan Wainwright,From Where You Are
Slobberbone,Everything You Thought Was Right Was Wrong Today
"Sloppy Meateaters, The",Conditioned by the Laugh Track
Sloppy Seconds,Knock Yer Block Off!
Sloppy Wrenchbody,Pariah
Slovenly,Highway to Hanno's
"Slow and Painful Birth of Nehemiah St. Danger, The","Slow and Painful Birth of Nehemiah St. Danger, The"
Slow Bongo Floyd,More Than Jesus
Slow Burning Car,Blowback
Slow Jets,Remain in Ether
Slow Motion Reign,Serjical Strike 
Slow Pain,Money Maid
Slow Runner,no disassemble
"Slow Signal Fade, The",Steady
Slow Train Soul,Illegal Cargo
Slowdime21,Super Golden Original Movement
Slowdive,Souvlaki
Slowdive,Allison
Slowness,Hopeless but Otherwise
Slowrush,Volume
"Slugs, The",Fort Fun
Slum Village,Selfish
Slush,North Hollywood
Sluts for Hire,The Happiest Band on Earth
Sly & The Family Stone,The Essential
Sly & The Family Stone,Different Strokes by Different Folks
Sly and Robbie,Friends
Smackmelon,Blue Hour
Smackmelon,Smackmelon
Small,Silver Gleaming Death Machine
Small,Mona Skips Breakfast
Small,Chin Music
Small 23,True Zero Hook
Small 23,Toastmaster
Small Axe,Ride To The Bottom
Small Ball Paul,You In Flames
Small Ball Paul,Small Ball Paul
"Small Cities, The",With Fire
Small Faces,Ogdens' Nut Gone Flake
Small Factory,The Last Time That We Talked
Small Factory,For If You Cannot Fly
Small Sails,Similar Anniversaries
Small Sins,Mood Swings
Small Sins,Stay 
Smallspace,Smallspace
"Smallz, Biggy",Nobody Rides for Free
Smart Brown Handbag,Silverlake
Smart Brown Handbag,Fast Friends
Smart Brown Handbag,Little Things Are Everything
Smart Brown Handbag,Lullabies for Infidels
Smart Brown Handbag,Smart Brown Handbag
Smart Brown Handbag,Just Like Driving Backwards
Smart Went Crazy ,Con Art
"Smarties, The",Stop Or I'll Bust Out Crying
Smashing Pumpkins,Stand Inside Your Love 
Smashing Pumpkins,the aeroplane flies high sampler
Smashing Pumpkins,Siamese Dream
"Smashing Pumpkins, The",Bullet With Butterfly Wings
"Smashing Pumpkins, The",Machina/the machines of God
"Smashing Pumpkins, The",Earphoria
"Smashing Pumpkins, The",Adore
"Smashing Pumpkins, The",Zeitgeist
"Smashing Pumpkins, The",Greatest Hits
Smear Campaign ,Orange Hill
Smears,Smears in the Garage
Smile Empty Soul,Smile Empty Soul
Smile Smile,Blue Roses
Smiley,Beautiful Work of Art
Smit-Haus,Smit-Haus
Smith & Mighty,Life Is...
Smith Westerns,Dye it Blonde
"Smithereens, The",A Date With The Smithereens
"Smithereens, The",Blow Up
"Smithereens, The",A Girl Like You
"Smithereens, The",Blues Before And After
"Smiths, The",Best II
"Smiths, The",Sweet and Tender Hooligan
Smoke City,Underwater Love
Smoke or Fire,above the city
Smoke or Fire,This Sinking Ship
"Smokejumpers, The",Flat Tear It Up!
Smokey Wilson,88th Street Blues
Smokin Suckas wit Logic,Radio Airplay
Smokin Suckas wit Logic,We Hit 'Em Like This
Smoking Popes,Tribute
Smoking Popes,Born to Quit
Smoking Popes,Destination Failure
Smoking Popes,The Party's Over
Smoota,Fetishes
"Smooths, The",Very Own Vegas
Smoove,Keep It Poppin
SMP,Terminal
Smphn,"Larry Kucharz
"
Smudge,"Tea, Toast & Turmoil"
"Smugglers, The",Rosie
"Smugglers, The",Buddy Holly Convention
"Smugglers, The",Selling the Sizzle
"Smugglers, The",Growing Up Smuggler
Smut,"Blood, Smut and Tears"
"Smyrk, The",The Smyrk
"Smyrk, The Hartt Sessions ",
Snake & Jet's Amazing Bullit Band,X Ray Spirit
Snake River Conspiracy,Sampler
Snake River Conspiracy,Sonic Jihad
"Snake The Cross The Crown's, The",Mander Salis
Snakes Say Hiss!,I'll Be Lovin' You
Snap,World Power
Snap-Her,Queen Bitch Of Rock & Roll
"Snapdragons, The",The Snapdragons
Sneaker Pimps,Tesko Suicide/Post-Modern Sleaze
Sneaker Pimps,Becoming X
Sneaker Pimps,Bloodsport
Sneakster,pseudo-nouveau
Sneaky Thieves,Accident(s)
Snew,What's It To Ya
SNFU,Fyulaba
Snmnmnm,Crawl Inside Your Head
Snog,The Future
Snog,Remote Control
Snog ,Buy me...I'll Change Your Life
Snog ,Third Mall From the Sun
Snooky Pryor,Shake My Hand
Snoop Dogg,Just Dippin'
Snoop Dogg,Loosen' Control
Snoop Dogg,Lay Low
Snoop Dogg,From Tha Chuuuch To Da Palace
Snoop Dogg,6 Bedtime Stories
Snoop Dogg,Tha Last Meal
Snoop Dogg,B-Please
Snoop Dogg presents Tha Eastsidaz,Tha Eastsidaz
Snoop Dogg presents Tha Eastsidaz,Iluvit
Snot,Get Some
Snot,The Snot Sampler
Snot,The Box
"Snow Leopards, The",Debut
Snow Machine,Snow Machine
Snow Patrol,A Hundred Million Suns
Snow Patrol,Final Straw
Snow Patrol,Take Back The City
Snow Patrol ,Eyes Open
Snowglobe,Doing the Distance
Snowpony,They Were Doing The Temptation Walk
Snowpony,The Slow-Motion World of Snowpony
Snuff,Numb Nuts
Soccer,La Bohème II
Soccer,La Bohème II
Social Club,Make Love Not Babies
Social Distortion,Let It Be Me
Social Distortion,Somewhere Between Heaven and Hell
Social Distortion ,Born to Lose
Social Distortion ,Bad Luck
Social Distortion ,White Light White Heart White Trash
Social Distortion ,Gold Feelings 
Social Kings,Social Kings
Social Life,Making Friendz
Social Scare,Sound Formula
Socialburn,Where you are
"Society Island, The",The Big Sleep
"Sock Angels, The",The Sock Angels
Sofa,Sofa
Sofa Surfers,See the Light
Soft Cactus,Five Ways to Foreshadow
Soft Cactus,Five Ways to Foreshadow
Soft Cell,Memorabilia: The Singles
"Soft Hands, The",hours pass by'
"Soft Pack, The",The Soft Pack
Soft Pow'r,Little Wings
"Softies, The",Holiday in Rhode Island
"Soggy Bottom Boys, The",I Am A Man of Constant Sorrow (Radio Edit)
Soil,Scars
Soko,Two
Solar Coaster,Solar Coaster
Solar Enemy,Dirty VS Universe
Solar Race,Not Here/God Wants to Know
"Solar Saturday, The",The Solar Saturday
Solarized,Neanderthal Speedway
Sole & The Skyrider Band,Plastique
Sole & The Skyrider Band,Hello Cruel World
Sole & The Skyrider Band,Live From Rome
Soledad,Voice of Treason
Solex,Solex vs. The Hitmeister
Solid Gold,who you gonna run to?
Solid Gold ,Bodies of Water 
Solid8,New Perspective Flashback Return of the Boom Bat
Solo,He's Not Good Enough
Solo,Heaven
Solo,Where Do U Want Me To Put It
Solo,New Classic Soul
Solo & Kam,Were I Come From
Solomon Burke,Don't Give Up On Me
Solomon Spectrum,Soundtrack 2 Life
Solpatch,New & Improved - 33.3% More
Soltero,Hell Train
Solution a.d.,Happily Ever After
Solvent,Apples & Synthesizers
Sombody's Closet,Breeze of Transition
Some Action ,EP
Some by Sea ,on fire!
Some Girls,Feel It
Some Girls,Heaven's Pregnant Teens
Some Girls,Heaven's Pregnant Teens
Some Velvet Morning ,Silence Will Kill You 
Somebody's Sister,Circuits to the Sun
Someone Still Loves You Boris Yeltsin,Pershing
Something Corporate,North
Something for Kate,Echolalia
Something Happens,Somethign Happens!
Something Happens,Stuck Together with God's Glue
Something Happens,Stuck Together With God's Glue
Something Happens,Suffer It
Something Happens,Bedlam A Go-Go
Something Phonic,Winds of Change
Something Underground ,Something Underground 
Sometime Sweet Susan,The Coming Lights
Sometime Sweet Susan,point ep
Sometimes Jones...,Under the Gun
Sometimes Seven,somehow you just dont get it 
Sometimes Seven,somehow you just dont get it 
"Son Entero, El",Cuba
Son Lux,At War with Walls and Mazes
Son Lux,At War with Walls and Mazes
Son of Bazerk,Change the Style
Son of Dov,Ulysses
Son of Dov,Ulysses
Son of Hog,Fraternity
Son of Mind Daughter of Body,Children of Mihnd/Body
Son of Sam,Songs from the Earth
Son Volt,Switchback
Son Volt,Honky Tonk
Son Volt,Joe Citizen Blues
Son Volt,The Search
Son Volt,Wide Swing Tremolo
Son Volt,Straightaways
Son Volt,Straightface
Son Volt,Honky Tonk
Son Volt,Honky Tonk
Son Volt,Trace
Son Volt,Driving The View
"Son, Ambulance ",Key
Sondre Lerche,Faces Down
Sondre Lerche,Two Way Monologue
Sondre Lerche and the Faces Down,Phantom Punch
Sondre Lerche and the Faces Down Quartet,Duper sessions
Sondre Lerche and the Faces Down Quartet,Duper sessions
Sondre Lerche and the Golden Republic ,Tour 2004
Sonia Dada,A Day at the Beach
Sonia Dada,You Ain't Thinking (About Me)
Soniadada,...barefootsoul...
Sonic Cover,Tambourine Slang
Sonic Sum,The Sanity Annex
Sonic Theories,Live Sessions from CJSW 90.9 FM
Sonic Theories,Live Sessions from CJSW 90.9 FM
Sonic Youth,Murray Street
Sonic Youth,Little Trouble Girl
Sonic Youth,Sugar Kane
Sonic Youth,Dirty
Sonic Youth,Sonic Nurse
Sonic Youth,"Experimental Jet Set, Trash and No Star"
Sonic Youth,Disappearer
Sonic Youth,The Diamond Sea
Sonic Youth,a thousand leaves
Sonic Youth,Bull in the Heather (LP)
Sonic Youth,"""100"""
Sonichrome,Breathe the Daylight
Sonny Boy Williamson,Blues Masters
Sonny Boy Williamson II,Throw A Boogie Woogie
Sonny Landreth,Levee Town
Sonny Landreth,Outward Bound
Sonny Sixkiller,This is Your Heaven 
Sonny Smith,"This Is My Story, This Is My Song"
Sonofa Bush,Sea Lion
Sonofa Bush,Sea Lion
Sonora Kaliente,Mientes
Sons of Elvis,Glodean
Sons of Elvis,Mrs. White
Sons of Freedom,Gump
"Sons Of Scilence, The",The Sons of Scilence
Sons of the Cloth,Aryastya
Sons of the Never Wrong,Consequence of Speech
Soon,Soon
Soopafly,Like it or Not
Soopafly,Like it or Not
Sophie B. Hawkins,DAMN I wish I was Your Lover
Sophie Zelmani,Sophie Zelmani
Sordid Humor,Barbarossa
Sorid Humor,Light Music For Dying People
"Sort of Quartet, The",Kiss Me Twice I'm Schitzo
"Sorts, The",Contemporary Music
"Soto Koto Band, The",Higher Octave Music
Soul Asylum,Somebody to Shove 
Soul Asylum,Let Your Dim Light Shine
Soul Asylum,Black Gold
Soul Asylum,Misery
Soul Asylum,Candy from a Stranger
Soul Asylum,Spinnin'
Soul Bossa Trio,Soul Bossa Trio
Soul Bossa Trio,Soul Bossa Trio
Soul Brains,A Bad Brains Reunion
Soul Center,Soul Center
Soul Coughing,3 Song Pro
Soul Coughing,Made Especially for You
Soul Coughing,El Oso
Soul Coughing,Super Bon Bon
Soul Coughing,Irresistible Bliss
Soul Coughing,Ruby Vroom
Soul Coughing,Down To This
Soul Coughing,Circles
Soul Direct,Exorcise the Demons
Soul Holiday,Sounds of Blackness
soul hooligan,algebra
Soul Hooligan,music like dirt
Soul Hooligan,Psychedelic Soul
Soul Hooligan,music like dirt
Soul Hooligan,Psychedelic Soul
Soul Hooligan,Music Like Dirt
Soul II Soul,Keep On Movin
Soul Merchants,1985-1987
"Soul of John Black, The",Good Thang
Soul of Man,Y4K
Soul of Mischief ,93 'Till Infinity
Soul Position,Things Go Better With RJ and Al
Soul Stance,"Truth, Simplicity, & Love"
Soul Stance,"Truth, Simplicity, & Love"
Soul Wax,Much Against Everyone's Advice
Soul Wax,Much Against Everyone's Advice
Soular,Love Crash Heal
Soular,Time and Space
Sould Rebels ,Let Your Mind Be Free 
Soulfege,Take Back The Mic
Soulfly,Dark Ages
Soulfly,Primitive
Soulfly,Prophecy
Soulfly,Self Titled
Soulfly,Dark Ages
Soulfly,Primitive
Soulfly,Prophecy
Soulfly,Self Titled
Soulfood,Breath
Soulhat,Experiment on a Flat Plane
Soulhat,Outdebox
Soulive,A Little Taste
Soulive,Turn it Out Remixed
Soulive,Doin' Something
Soulive,Next
Soulive,Turn It Out
Soulpaint,Soulpaint
Souls,Bird Fish Or Inbetween
Souls at Zero,Grey World
Souls at Zero ,Never
Souls at Zero ,Never
Souls for Rent,waiting to arrive
Souls for Rent,waiting to arrive
Souls in Rhythm,Funklore
Souls in Rhythm,Funklore
Soulsavers,"it's not how far you fall, it's the way you land"
Soulsavers,"it's not how far you fall, it's the way you land"
Soulscript,There By Now
Soulstance,"Truth, Simplicity & Love"
Soulstance,"Truth, Simplicity & Love"
Soulstorm,From Euphoria to Paranoia
Soulwax,Much Against Everyone's Advice
Sound Directions ,The Funky Side of Life
Sound Mind,Acid Itch / The Label
Sound of Blackness,I believe
Sound of Blackness,Optmistic
Sound of Blackness,the night before christmans
Sound of Blackness,I believe
Sound of Blackness,Optmistic
Sound of Blackness,the night before christmans
Sound of N.O.W.,Nightmares on Wax
"Sound of the Urchin, The",the jack and diane e.p.
"Sound of Urchin, The",The Diamond
"Sound of Urchin, The",You Are The Best
Sound Team,Work
Sound Team,Work
"Sounders, The",Happy With The Truth
Soundgarden,Spoonman
Soundgarden,Spoonman
Soundpool,re-mirrored 
Soundpool,Dichotomies & Dreamland
Soundpool,Dichotomies & Dreamland
Soundproof/Monolyth,Grandpaboy
Sounds From The Ground,Kin
Sounds of Blackness,The Evolution of Gospel
Sounds of Blackness,Black Butterfly
Sounds of Blackness,Testify
Sounds of Blackness,Everything Is Gonna Be Alright
Sounds of Blackness,The Pressure
Sounds of Blackness,I'm Going All The Way
"Sounds of Hell, The",an elegant collection
Sounds of Paper,Sounds of Paper
"Sounds, The",Something to Die For
Soundtrack Mind,Elementary School Talent Show
"Soundtrack Of Our Lives, The",Communion
SoundTribeSectorNine,Artifact Perspectives
Soup Dragons,Backyards Dog
Soup Dragons,Mother Universe/Sweetmeat
Soup Dragons,Backyards Dog
Soup Dragons,Mother Universe/Sweetmeat
"Soup Dragons, The",Art
"Soup Dragons, The",Hydrophonic
"Soup Dragons, The",Hotwired
Source ,Material 
Sourpuss,Prison Charisma
Sourpuss,Prison Charisma
South,You Are Here
South,Adventures in the Underground Journey to the Stars
South,You Are Here
South,Adventures in the Underground Journey to the Stars
South,With The Tides
South,From Here On In
South Africa 95,B&W
South China,south china
South China,south china
Southcott,flee the scene
Southerly,Storyteller and the Gossip Columnist
Southerly,Best Dressed and Expressionless
Southern Backtones,Southern Backtones
Southern Culture on the Skids,Too Much Pork of Just one Fork
Southern Culture on the Skids,Soul City
Southern Culture on the Skids,Ditch Diggin'
Southern Culture On the Skids,Liqored Up and Lacquered Down
Southern Culture On the Skids,Plastic Seat Sweat
Southern Culture On the Skids,Merry Christmas Baby
Southern Culture On The Skids,Dirt Track Date
Southern Distribution,Spring-Summer 1999 Compilation
Southpacific,Constance
Southside Reverb,Breakneck
"Soviettes, The",LP III
Sovory ,Sovory 
Sovory ,Sovory 
Sow,Sick
Sow,Sick
Space,"""B Sides"""
Space,Neighbourbood
Space Ballerinas,If Goth Was Punk
Space Between Words,And We All Follow the Sun
Space Bike,Lunch Omat
Space Cadet,Greatest Hits
Space Capone,Volume I: Transformation
"Space Negros, The",Dig Archaeology II 1975-1980
Space Twins,The End of Imagining
Spacehog,The Hogyssey
Spacehog,Was it Likely?
Spacehog,Hamsters of Rock: Live at CBGB's
Spacehog,The Chinese Album
Spacehog,Resident Alien
Spacek,Vintage Hi-Tech
Spacemen 3,Big City
Spacemen 3,Performance
Spacemen 3,Sound of Confusion
Spacepup,Make Nice Music
Spaceships are cool,No Name
Spacetime,Continuum
Spacetime Continuum,Sea Biscuit
Spade Ghetto Destruction,Spade Ghetto Destruction
"Spades, The",Subatomic
Spaghetti Western,Do Right By People
Spahn Ranch,Beat Noir
Spahn Ranch,Retrofit
Spahn Ranch,Parts Assembled Soley
Spahn Ranch,Retrofit
Spahn Ranch,Parts Assembled Soley
Spain,I Believe
Spamparis,A Taste of Spam
"Spanish Harlem Orchestra, The",Un Gran Dia En El Barrio
Sparkle Jets U.K.,Bamboo Lounge
Sparklehorse,Good Morning Spider
Sparklehorse,Distorted Ghost
Sparklehorse,Sionplot
Sparklehorse,Chest Full of Dying Hawks
Sparklehorse,Chords I've Known
Sparklehorse,It's A Wonderful Life
Sparklehorse,Dreamt For Light Years In The Belly Of A Mountain
Sparkler,Wicker Park
Sparkler,Sparkler
Sparks,Exotic Creatures of the Deep
Sparks @ IV,Sparks @ IV
Sparks The Rescue,The Secrets We Can't Keep
Sparky Quano,Jenga
Sparkydog,I Am The Machines vol. 1
Sparrow,The Early Years
Sparrowhawk,Sparrowhawk
Sparta,Porcelain
Sparta,Austere
Spc Eco,The Art of Pop
Speak NO Evil,Welcome to the Downside
Speakeasy Tiger,The Public
Speaker Speaker,Call It Off
Spearhead,Chocolate Supa Highway
"Special Goodness, The",Land Air Sea
"Specials, The",Today's Specials
"Specials, The",Guilty 'til Proved Innocent!
"Specials, The",It's You
Speck Mountain,Some Sweet Relief
Speckled Red,Blues Masters
Speech,Speech
Speech,Excerpts From Hoopla
Speech,Speech
Speech,Clocks in Sync With Mine
Speech Debelle,Speech Therapy
Speech Debelle,Freedom of Speech
Speech Hoopla,Speech Hoopla
Speed Luxury,Speed Luxury
Speed McQueen,Speed McQueen
Speed McQueen,Gig
Speedball,Drive Like Hell
Speedbuggy,Hardcore Honkey Tonk
Speer,Sixes & Sevens
"Spelvins, The",Whichever Train Comes
Spencer Bates,Good Night Roses
"Spent Poets, The",Dogtown
"Spent Poets, The",The Spent Poets
Spice Girls,Holler
Spice Girls,Wannabe
Spider Rockets,Flipped Off
Spider Rockets,Flipped Off
Spider Rockets,Flipped Off
Spider Rockets,Flipped Off
Spider Rockets,Flipped Off
Spider Rockets,Flipped Off
Spike 1000,Waste of Skin
Spike 1000,Waste of Skin
Spike 1000,Waste of Skin
Spike 1000,Waste of Skin
Spike 1000,Waste of Skin
Spike 1000,Waste of Skin
"Spill Canvas, The","No Really, I'm Fine"
"Spill Canvas, The",Denial Feels So Good
Spin Doctors,Homebelly Groove...Live
Spin Doctors,Here Comes the Bride
Spin Doctors,You've Got To Believe In Something
Spin Doctors ,Turn It Upside Down
Spin Doctors ,Cleopatra's Cat
"Spin, The",The Goddess of Love
Spine Grinder,Meat & Greed
Spine Grinder,Meat & Greed
Spine Grinder,Meat & Greed
Spine Grinder,Meat & Greed
Spine Grinder,Meat & Greed
"Spinto Band, The",Moonwink
Spiral Beach,Ball
Spirit of '73,Rock for Choice
Spirit of the West,Faithliff
Spirit Traveler,"""Playing the Hits From The Motor City"""
Spirit Traveler,Merry Christmas Baby
Spirits of the Red City ,Jula
Spiritualized,I think I'm in Love
Spiritualized,Run
spiritualized,Lay Back in the Sun
Spiritualized,Supplementary Dosage
Spiritualized,Fucked Up Inside
Spiritualized,Spiritualized
Spiritualized,Ladies and Gentelment We Are Floating In Space
Spiritualized,Royal Albert Hall October 10 1997 Live
Spiritualized,Let it come down.
Spiritualized,Songs In A&E
Spiritualized,Amazing Grace
Spiritualized Electric Machine,Let it Flow
Spit Hot Fire,Spit Hot Fire
spitalfield,stop doing bad things
Spite,"""Heavy Whipping Cream"""
Spite,Bastard Complex
"Spitfires, The",Songs from the Debt Generation
Spityvalves,fine print at the bottom
Splendora,In The Grass
Split Shift,Tension
"Split-Second, A",Firewalker Maxi
Splitsville,Ultrasound
Splitsville,Repeater
Spoek Mathambo,Father Creeper
Spokes,Everyone I Ever Met
Sponge,Sponge
Sponge,Rotting Pinata
Sponge,Wax Ecstatic
"Spongetones, The",Where-EverLand
Spongeworthy,Today
Spooge,ewe are in my savannah pee pee
Spookie Daly Pride,Marshmallow Pie
Spoon,Soft Effects
Spoon,Kill the Moonlight
Spoon,30 Gallon Tank + 3
Spoon,The agony of Laffitte
Spoon,Telephono
Spoon,A Series of Sneaks
Spoon,Telephono
Spoon,Girls Can Tell
Spoon,The Underdog
Spoon,Gimme Fiction
Spoon ,Spoon 
SPOON ,Something to Look Forward To
SPOON ,Something to Look Forward To
Spoonfed Hybrid,Spoonfed hybrid
Spoozys,Astral Astronauts
Spoozys,Astral Astronauts
Spore,She Knows Better
Spore,Fear God
Spore,Giant
Sportsguitar,"Married, 3 kids"
Spot,Ardent
Spotlight Kid,Budge Up
Spotlight Kid,Ten Thousand Hours
Spotlight Kid,Disaster Tourist
Spragga Benz,A-1 Lover
spraggbenz,Uncommonly Smooth
Spring Heel Jack,Million Shades
Spring Heel Jack,Million Shades
Spring Heel Jack,Busy Curious Thristy
Spring Heel Jack,Million Shades
Spring Heel Jack,Million Shades
Spring Heel Jack,Million Shades
Spring Heeled Jack,Static World View
Spy,Music to Mauzner By
Spy,Spy
"Spy in the Mes, The",And That's Why I Breathe Through The Illusion of Wanting to be Used to be Wanting to Do
Spydakit,Ill Children
Squarepusher,Music is Rotted One Note
Squarepusher,Budakhan Mindphone
Squarepusher,Selection Sixteen
Squarepusher,Go Plastic
Squirrel Nut Zippers,The Inevitable
Squirtgun,Shenanigans
Ssam Bush,Peaks of Telluride
St. Johnny,scuba diving
Stabbing Westward,Darkest Days
Stabbing Westward,Wither Blister Burn + Peel
Staci Twigg,"True Tales of Love, Rejection, and Fury"
Staind,Dysfunction
Staind,Tormented
Staind,Price to Pay
Stan Mosley,Why Can't You Love Me
Stan Mosley,Anybody Seen My Boo?
Stan Mosley,Don't Make Me Creep
Stan Mosley,Try'in Ta Bring Out The Dog N Me
Stan Mosley,"""No Mistake"" "
Star Dancer,Welcome to my World
Star ghost dog,Happy Love
